,0
1847,18488
1848,21904
1849,12220
1850,6136
1851,7296
1852,14572
1853,18708
1854,15960
1855,7668
1856,8292
1857,27284
1858,20016
1859,26336
1860,22132
1861,15376
1862,3436
1863,3724
1864,17940
1865,12552
1866,15936
1867,14712
1868,13772
1869,15968
1870,17856
1871,5664
1872,18220
1873,14552
1874,13084
1875,4136
1876,13576
1877,16680
1878,19068
1879,6468
1880,13520
1881,9168
1882,8192
1883,27916
1884,11640
1885,6504
1886,7604
1887,33252
1888,10820
1889,9680
1890,16248
1891,6608
1892,12476
1893,17072
1894,15424
1895,11144
1896,21420
1897,12164
1898,17120
1899,9004
1900,14144
1901,3152
1902,15276
1903,8540
1904,9300
1905,22840
1906,3572
1907,10388
1908,17944
1909,10752
1910,16068
1911,7552
1912,16648
1913,18780
1914,10688
1915,17196
1916,18300
1917,30552
1918,7216
1919,7812
1920,16332
1921,12092
1922,9064
1923,3804
1924,5536
1925,7136
1926,13832
1927,28184
1928,19816
1929,13964
1930,6832
1931,6052
1932,15872
1933,15692
1934,14228
1935,25516
1936,16024
1937,4916
1938,18060
1939,15484
1940,10468
1941,16036
1942,3824
1943,8204
1944,17224
1945,12380
1946,13804
1947,30508
1948,4060
1949,6280
1950,17640
1951,9272
1952,8892
1953,14152
1954,23324
1955,5316
1956,8412
1957,16348
1958,27940
1959,4192
1960,16264
1961,8492
1962,14364
1963,8520
1964,13244
1965,11604
1966,22336
1967,14624
1968,23340
1969,9752
1970,16316
1971,5664
1972,4088
1973,8556
1974,8532
1975,5564
1976,13088
1977,28752
1978,17960
1979,10292
1980,17144
1981,7076
1982,32748
1983,16444
1984,8440
1985,16112
1986,17924
1987,16064
1988,8656
1989,16444
1990,13064
1991,11172
1992,24592
1993,7280
1994,9508
1995,7940
1996,12408
1997,6852
1998,4892
1999,7696
2000,6440
2001,15692
2002,8080
2003,17748
2004,26980
2005,15720
2006,9172
2007,28220
2008,37028
2009,7864
2010,16580
2011,16888
2012,14864
2013,17828
2014,16808
2015,17200
2016,18440
2017,18036
2018,15516
2019,7068
2020,17096
2021,9952
2022,30248
2023,12228
2024,8120
2025,6332
2026,5284
2027,15816
2028,21840
2029,16076
2030,18172
2031,17152
2032,17608
2033,17704
2034,16136
2035,7300
2036,15736
2037,29740
2038,22700
2039,17924
2040,18824
2041,16428
2042,26716
2043,11776
2044,8416
2045,32616
2046,2800
2047,8264
2048,7064
2049,9964
2050,16776
2051,5280
2052,13932
2053,18828
2054,27332
2055,8860
2056,7500
2057,3536
2058,12176
2059,16592
2060,13236
2061,19496
2062,24176
2063,14396
2064,27016
2065,18808
2066,16532
2067,8524
2068,13916
2069,17324
2070,17720
2071,14148
2072,12812
2073,23444
2074,8372
2075,25352
2076,8724
2077,5572
2078,29528
2079,12220
2080,14024
2081,14672
2082,13116
2083,11060
2084,11148
2085,35084
2086,25060
2087,8564
2088,28072
2089,4720
2090,18860
2091,30284
2092,23144
2093,12240
2094,16348
2095,16044
2096,15356
2097,7388
2098,3048
2099,13116
2100,6872
2101,12348
2102,14764
2103,6656
2104,18248
2105,7696
2106,23200
2107,13444
2108,12332
2109,17128
2110,27564
2111,15200
2112,10892
2113,7772
2114,14328
2115,7812
2116,18692
2117,5820
2118,31104
2119,2556
2120,8224
2121,33288
2122,15636
2123,9528
2124,4640
2125,6676
2126,17336
2127,13924
2128,8092
2129,31332
2130,38024
2131,7072
2132,15864
2133,7728
2134,13216
2135,10572
2136,27120
2137,12832
2138,13936
2139,8208
2140,4892
2141,12104
2142,7524
2143,18576
2144,7348
2145,12636
2146,4460
2147,5548
2148,3288
2149,18616
2150,8416
2151,8036
2152,33844
2153,20024
2154,14548
2155,6744
2156,12444
2157,19408
2158,13964
2159,7128
2160,14468
2161,8328
2162,2984
2163,3916
2164,12656
2165,15348
2166,19192
2167,7192
2168,15596
2169,23912
2170,14676
2171,8188
2172,13540
2173,15588
2174,6764
2175,5580
2176,8192
2177,7580
2178,20348
2179,19648
2180,6376
2181,7776
2182,22616
2183,7312
2184,15480
2185,15896
2186,18132
2187,18088
2188,17004
2189,11652
2190,4600
2191,11048
2192,19292
2193,15700
2194,15484
2195,24320
2196,7136
2197,17936
2198,14596
2199,14712
2200,27108
2201,19252
2202,36492
2203,13100
2204,7364
2205,16824
2206,7108
2207,15032
2208,12524
2209,8412
2210,3892
2211,14000
2212,18016
2213,16388
2214,16204
2215,17452
2216,16552
2217,13484
2218,3372
2219,23820
2220,14232
2221,19200
2222,14668
2223,7164
2224,20052
2225,12260
2226,13288
2227,28348
2228,16196
2229,7960
2230,9592
2231,16840
2232,25760
2233,16568
2234,9120
2235,12672
2236,27572
2237,17068
2238,8428
2239,8688
2240,20224
2241,22496
2242,15388
2243,28432
2244,14384
2245,31240
2246,12184
2247,23580
2248,6188
2249,31576
2250,7680
2251,19356
2252,17760
2253,16356
2254,12476
2255,14408
2256,9704
2257,9596
2258,17616
2259,26912
2260,6240
2261,10004
2262,7472
2263,12560
2264,10876
2265,12784
2266,26152
2267,11440
2268,8192
2269,8940
2270,16484
2271,13448
2272,8184
2273,4224
2274,21328
2275,27972
2276,8516
2277,12060
2278,12556
2279,15948
2280,14612
2281,7492
2282,8364
2283,10912
2284,15448
2285,4892
2286,7868
2287,10244
2288,11276
2289,4288
2290,12096
2291,7288
2292,7184
2293,3996
2294,7740
2295,10416
2296,15288
2297,5848
2298,18180
2299,10404
2300,13632
2301,9540
2302,19028
2303,3432
2304,1480
2305,14356
2306,4352
2307,28700
2308,16112
2309,30932
2310,7836
2311,7312
2312,6964
2313,8596
2314,7432
2315,7768
2316,14600
2317,17864
2318,14224
2319,6636
2320,15512
2321,7496
2322,7844
2323,5628
2324,7036
2325,18556
2326,1984
2327,15948
2328,14228
2329,7968
2330,15120
2331,8284
2332,11896
2333,6152
2334,20884
2335,14608
2336,6428
2337,6740
2338,10928
2339,27296
2340,7064
2341,7624
2342,16816
2343,14168
2344,21560
2345,7756
2346,5020
2347,16056
2348,24576
2349,6896
2350,16408
2351,7188
2352,12544
2353,8936
2354,7996
2355,12732
2356,8440
2357,12028
2358,7408
2359,6956
2360,16752
2361,7444
2362,7780
2363,27660
2364,13952
2365,17836
2366,12320
2367,15276
2368,21480
2369,18564
2370,16184
2371,7200
2372,7928
2373,17060
2374,6940
2375,15768
2376,21748
2377,11372
2378,7528
2379,16376
2380,3204
2381,5556
2382,25864
2383,16932
2384,5980
2385,11380
2386,7156
2387,12796
2388,51040
2389,26816
2390,12672
2391,27208
2392,26720
2393,34588
2394,11840
2395,8628
2396,27416
2397,9132
2398,17404
2399,12468
2400,8740
2401,12096
2402,16028
2403,12352
2404,8468
2405,7372
2406,12400
2407,22580
2408,6680
2409,17316
2410,16916
2411,7292
2412,18420
2413,13420
2414,12432
2415,19444
2416,12496
2417,15660
2418,16148
2419,7044
2420,16508
2421,8344
2422,13616
2423,10332
2424,16812
2425,16148
2426,7936
2427,16012
2428,16756
2429,8900
2430,27552
2431,10504
2432,2792
2433,16212
2434,7844
2435,3844
2436,8248
2437,14372
2438,7836
2439,9652
2440,15432
2441,3932
2442,12280
2443,27544
2444,15216
2445,6172
2446,16256
2447,14332
2448,10728
2449,3792
2450,28444
2451,35648
2452,7788
2453,13000
2454,7148
2455,9200
2456,3804
2457,32308
2458,18120
2459,6424
2460,12244
2461,23440
2462,16528
2463,12796
2464,16856
2465,12528
2466,16804
2467,16132
2468,8100
2469,5384
2470,16100
2471,12720
2472,6456
2473,13484
2474,16632
2475,2920
2476,16840
2477,32452
2478,15992
2479,28044
2480,8100
2481,18128
2482,13780
2483,10568
2484,3432
2485,3420
2486,7724
2487,14520
2488,7424
2489,12600
2490,6664
2491,27036
2492,8100
2493,15460
2494,22476
2495,23692
2496,15344
2497,7628
2498,28272
2499,17068
2500,7752
2501,24708
2502,25504
2503,14672
2504,14180
2505,11260
2506,9296
2507,7792
